OBJECTID,ROCK_NAME,ROCK_TYPE,AQ_NAME,AQ_CODE,Shape_Leng,Shape_Area,observed
1368,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,0.21570714459,0.00292291288,
1096,Igneous and metamorphic-rock aquifers,600,Snake River Plain basaltic-rock aquifers,606,0.22842870084,0.0025750733,
1387,,999,Other rocks,999,0.23765624229,0.00277829546,
3735,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.01528847485,1.427433e-05,
3736,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.02021373795,2.635119e-05,
3737,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.02773907579,5.151079e-05,
1295,,999,Other rocks,999,0.04346578906,0.00012039683,
185,Unconsolidated sand and gravel aquifers,100,Northern Rocky Mountains Intermontane Basins aquifer system,105,0.2011113091,0.00131982518,
186,Igneous and metamorphic-rock aquifers,600,Columbia Plateau basaltic-rock aquifers,607,0.20568539949,0.00310516615,
3738,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.04278198942,0.00011113541,
1475,,999,Other rocks,999,0.22525060688,0.0021784863,
3894,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.03261429137,6.839316e-05,
187,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,0.43480129527,0.00570893143,
4077,,999,Other rocks,999,0.03293470972,5.628602e-05,
3895,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.0336102028,8.145163e-05,
1654,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,3.59688534407,0.10820446127,
3896,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.05539548659,0.00012692322,
3897,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02690102681,4.951168e-05,
700,,999,Other rocks,999,0.1830162403,0.00078699605,
188,Igneous and metamorphic-rock aquifers,600,Columbia Plateau basaltic-rock aquifers,607,0.39442308983,0.00663077389,
1548,,999,Other rocks,999,0.19891024762,0.00210104854,
4018,Unconsolidated sand and gravel aquifers,100,Surficial aquifer system,111,0.03112591578,6.636782e-05,
667,Carbonate-rock aquifers,400,New York and New England carbonate-rock aquifers,416,0.07605713414,0.00025165235,
189,Igneous and metamorphic-rock aquifers,600,Columbia Plateau basaltic-rock aquifers,607,0.19340622711,0.00230682111,
388,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,0.08098782592,0.000315638,
676,Unconsolidated sand and gravel aquifers,100,Northern Rocky Mountains Intermontane Basins aquifer system,105,0.19256053946,0.00204832447,
745,Igneous and metamorphic-rock aquifers,600,Pacific Northwest basaltic-rock aquifers,610,0.11430262172,0.0006372501,
779,,999,Other rocks,999,0.27262420733,0.00257257636,
763,,999,Other rocks,999,0.02811621071,5.389681e-05,
764,,999,Other rocks,999,0.02934151485,5.814044e-05,
173,Unconsolidated sand and gravel aquifers,100,Columbia Plateau basin-fill aquifers,116,0.38210852866,0.00570240572,
3322,,999,Other rocks,999,0.11921127123,0.00063447887,
3323,,999,Other rocks,999,0.10789555527,0.00073185337,
174,Sandstone aquifers,300,Lower Cretaceous aquifers,304,0.38930685511,0.00552009124,
175,,999,Other rocks,999,0.0504473127,0.00012312599,
1572,,999,Other rocks,999,0.17483933639,0.00180184641,
176,Igneous and metamorphic-rock aquifers,600,Columbia Plateau basaltic-rock aquifers,607,0.25028591315,0.00284919454,
4061,Unconsolidated sand and gravel aquifers,100,Surficial aquifer system,111,0.02770528992,4.18946e-05,
177,,999,Other rocks,999,0.05053622672,0.00011763349,
872,,999,Other rocks,999,0.05481526776,0.00019326847,
1286,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,0.19181020582,0.00171080211,
212,Unconsolidated sand and gravel aquifers,100,Northern Rocky Mountains Intermontane Basins aquifer system,105,0.67422103519,0.00465444813,
392,,999,Other rocks,999,0.19334906594,0.00224864749,
1361,,999,Other rocks,999,0.06492146324,0.00026547434,
1803,Unconsolidated sand and gravel aquifers,100,Basin and Range basin-fill aquifers,101,0.13679337,0.00121957863,
3326,,999,Other rocks,999,0.14987343303,0.0012349287,
1296,Igneous and metamorphic-rock aquifers,600,Pacific Northwest basaltic-rock aquifers,610,0.31464628301,0.00454179592,
1929,Carbonate-rock aquifers,400,Basin and Range carbonate-rock aquifers,401,0.18056260406,0.00158267186,
2988,Unconsolidated sand and gravel aquifers,100,California Coastal Basin aquifers,103,0.0807103302,0.00016846278,
1356,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.09480242293,0.00034054345,
2139,,999,Other rocks,999,0.24482636783,0.00372993972,
2575,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.03333129288,6.378677e-05,
2989,,999,Other rocks,999,0.37671839232,0.00610688307,
1417,,999,Other rocks,999,0.20183900263,0.00219154046,
